budget,runtime,vote_average,vote_count,popularity,release_year,release_month,primary_genre,lead_actor,director,production_company,release_season,budget_per_minute,vote_weighted_score,budget_log,popularity_log,revenue,roi
33000000,127.0,8.1,5915.0,18.45743,1995,9,Crime,Brad Pitt,David Fincher,New Line Cinema,Fall,259842.51968503938,70.35186817302858,17.312018149733785,2.968229002260456,327311859.0,8.918541181818181
55000000,81.0,6.7,1509.0,13.280069,1995,6,Adventure,Irene Bedard,Mike Gabriel,Walt Disney Pictures,Summer,679012.3456790124,49.0430950297201,17.822843761378564,2.658864788832538,346079773.0,5.292359509090909
6000000,106.0,8.1,3334.0,16.302466,1995,7,Drama,Stephen Baldwin,Bryan Singer,Blue Parrot Productions,Summer,56603.77358490566,65.70904646263276,15.607270193858982,2.850849034697996,23341568.0,2.890261333333333
15000000,95.0,6.7,145.0,15.899134,1995,9,Comedy,Woody Allen,Woody Allen,Miramax Films,Fall,157894.73684210525,33.390164365445855,16.52356082573315,2.8272623780125303,6700000.0,-0.5533333333333333
3500000,91.0,7.0,513.0,14.56965,1995,4,Comedy,Ice Cube,F. Gary Gray,New Line Cinema,Spring,38461.53846153846,43.69556285818616,15.068273812173887,2.7453235064667223,28215918.0,7.061690857142857
19000000,108.0,6.9,1644.0,15.339153,1996,1,Horror,George Clooney,Robert Rodriguez,A Band Apart,Winter,175925.92592592593,51.09792007607636,16.759949589762293,2.7935642521030135,25836616.0,0.3598218947368421
50000000,91.0,4.1,54.0,5.912223,1995,11,Action,William Baldwin,Andrew Sipes,Silver Pictures,Fall,549450.5494505494,16.43006605945313,17.72753358339242,1.9332912937128053,11534477.0,-0.76931046
15000000,90.0,3.9,16.0,2.936443,1996,1,Comedy,Rick Moranis,Steve Miner,Warner Bros.,Winter,166666.66666666666,11.049532041819242,16.52356082573315,1.3702775236696476,2042530.0,-0.8638313333333333
20000000,108.0,6.1,154.0,12.758848,1995,9,Horror,Peter Weller,Christian Duguay,The Movie Network (TMN),Fall,185185.1851851852,30.764893213207404,16.811242881518265,2.621682108070172,5781885.0,-0.71090575
8000000,116.0,6.7,87.0,4.486179,1995,12,Drama,Andy García,Gary Fleder,Miramax Films,Winter,68965.5172413793,29.998156657003985,15.894952224644102,1.7022320204920451,529766.0,-0.93377925
38000000,129.0,6.3,86.0,9.568604,1996,2,Action,Jeff Bridges,Ridley Scott,Hollywood Pictures,Winter,294573.6434108527,28.135221147523875,17.453096744006448,2.3578877192582763,10300000.0,-0.7289473684210527
8169363,90.0,6.1,190.0,6.848591,1995,11,Crime,Johnny Depp,John Badham,Paramount Pictures,Fall,90770.7,32.03886791108444,15.915901618028812,2.0603340252381193,8175346.0,0.0007323704430810578
47000000,104.0,5.7,77.0,12.866139,1996,2,Drama,Julia Roberts,Stephen Frears,TriStar Pictures,Winter,451923.07692307694,24.833240312130673,17.665658180950928,2.629449824990463,12379402.0,-0.7366084680851064
14000000,100.0,4.5,113.0,9.071127,1995,10,Comedy,Eddie Murphy,Wes Craven,Paramount Pictures,Fall,140000.0,21.31289301777523,16.454567959008102,2.3096726170521897,19800000.0,0.4142857142857143
50000000,108.0,5.7,459.0,14.957626,1996,2,Action,John Travolta,John Woo,Twentieth Century Fox Film Corporation,Winter,462962.962962963,34.9479909900539,17.72753358339242,2.7699368340905823,150270147.0,2.00540294
7000000,91.0,6.8,285.0,6.904831,1996,2,Comedy,Luke Wilson,Wes Anderson,Gracie Films,Winter,76923.07692307692,38.46074431357499,15.76142084987672,2.0674740915587737,560069.0,-0.9199901428571429
12000000,92.0,6.5,767.0,9.592265,1996,2,Comedy,Adam Sandler,Dennis Dugan,Universal Pictures,Winter,130434.78260869565,43.18463326545987,16.300417291085605,2.3601240177638605,41205099.0,2.43375825
